basin,p_mean,pet_mean,aridity,t_mean,frac_snow,high_prec_freq,high_prec_dur,low_prec_freq,low_prec_dur
02KB001,2.6909570060413244,0.835615376899384,0.31052721207488204,3.834384057576322,0.20865020479211843,0.04781420765027322,1.1666666666666667,0.6024590163934426,3.0839160839160837
02KB001_3044506,2.627098557475457,0.8454858128343556,0.32183254428293534,3.8881036666525395,0.2098685838133524,0.050546448087431695,1.088235294117647,0.6243169398907104,3.173611111111111
02KB001_3044563,2.529505167675845,0.849384156511909,0.33579063896214073,4.012892691246718,0.19071087847586413,0.05874316939890711,1.162162162162162,0.6434426229508197,3.4130434782608696
02KB001_3044950,2.567293088022397,0.8428011396411013,0.3282839593084078,3.829304434755776,0.198063378711631,0.0546448087431694,1.1428571428571428,0.6338797814207651,3.338129496402878
02KB001_3044966,2.756609095257797,0.8342740920416755,0.30264504803270065,3.591045647983585,0.21533346663338107,0.0546448087431694,1.1764705882352942,0.6079234972677595,3.1785714285714284
02KB001_3044974,2.803892267472694,0.8274508931532725,0.29510794788813355,3.5137568197615163,0.21940773477435246,0.04644808743169399,1.096774193548387,0.5997267759562842,3.1357142857142857
02KB001_3047014,2.977788780281093,0.832647581101224,0.2796194231824008,3.322911192573712,0.24221262688088016,0.04644808743169399,1.1333333333333333,0.5846994535519126,3.0354609929078014
02KB001_3047020,2.736922812144326,0.8413153078482477,0.30739460539959235,3.7179589183822674,0.20851320028469628,0.04781420765027322,1.0606060606060606,0.6079234972677595,3.2014388489208634
02KB001_3047073,2.974286092574639,0.8324296600098492,0.27987545047802415,3.33588282506394,0.23573939619022724,0.04781420765027322,1.1666666666666667,0.5915300546448088,3.115107913669065
02KB001_3047089,2.8561895802190147,0.8326181542271174,0.29151361660078307,3.522340251738761,0.22514773266216248,0.05327868852459016,1.1470588235294117,0.6024590163934426,3.218978102189781
02KB001_3047100,2.8026228200738723,0.8346784553783639,0.2978204735221428,3.5620973640038436,0.21631010764874917,0.05327868852459016,1.1470588235294117,0.5997267759562842,3.1134751773049647
02KB001_3047137,2.698518268742296,0.8379690138472212,0.31052930919670046,3.7565237448969144,0.213565624462627,0.05327868852459016,1.1470588235294117,0.6161202185792349,3.198581560283688
02KB001_3047150,2.7218708765123423,0.8421519109718488,0.30940185966901435,3.7643972137334596,0.2072697542373225,0.0546448087431694,1.1764705882352942,0.6133879781420765,3.2071428571428573
02KB001_3048621,2.4559080744903774,0.8302528987609116,0.3380635079076388,4.198299756415293,0.20027751947701444,0.05191256830601093,1.0857142857142856,0.6653005464480874,3.6343283582089554
02KB001_3048805,2.426301436955662,0.8332458252837113,0.3434222197589779,4.418675948899975,0.17837720197359158,0.05327868852459016,1.1818181818181819,0.6680327868852459,3.6222222222222222
02KB001_3048815,2.4090148933914906,0.820135781340262,0.3404444628342035,4.542981775820558,0.17138608261443744,0.060109289617486336,1.1891891891891893,0.6734972677595629,3.5985401459854014
02KB001_3049389,2.4615603540932174,0.8424757874563266,0.3422527447094326,4.293285886645938,0.17408065138085166,0.050546448087431695,1.088235294117647,0.6666666666666666,3.6417910447761193
02KB001_3049465,2.5939382599082825,0.8354525142472738,0.32207879700144215,3.9357420823874336,0.20296651098432286,0.05327868852459016,1.1142857142857143,0.6434426229508197,3.514925373134328
02KB001_3050528,2.506117042405532,0.8357057352776271,0.3334663629578382,3.971831099694624,0.19810093561184677,0.05737704918032787,1.105263157894737,0.6530054644808743,3.593984962406015
02KB001_3051397,2.6873680196080016,0.8421461202261139,0.31337208528251936,3.905345495383073,0.21152414062893146,0.05191256830601093,1.1176470588235294,0.6202185792349727,3.1971830985915495
02KB001_3051410,2.7326875285556924,0.8347916526014081,0.30548375687966806,3.7458577618763926,0.21629368738935975,0.04918032786885246,1.125,0.6202185792349727,3.362962962962963
02KB001_3052275,2.654820720061196,0.8408097557586469,0.3167105595511796,3.999870656362901,0.20421236553987693,0.05327868852459016,1.0833333333333333,0.6270491803278688,3.4
02KB001_3053185,2.7503896346704284,0.8296959957277606,0.3016648933187173,3.7149277043176507,0.21455009037022543,0.04644808743169399,1.096774193548387,0.6065573770491803,3.1714285714285713
02KB001_3053374,2.5707949313197616,0.8490371703902536,0.33026250365072324,4.04382901559894,0.20233135424263918,0.05327868852459016,1.1142857142857143,0.6379781420765027,3.408759124087591
02KB001_3054459,2.7332797286912385,0.8325132999541591,0.3045840099040236,3.7102469857139333,0.21406293393968143,0.04781420765027322,1.1290322580645162,0.6147540983606558,3.3582089552238807
02KB001_3057127,3.06436590494296,0.8261757830468958,0.2696074191774021,3.3096295581062467,0.24116359909597304,0.05191256830601093,1.1515151515151516,0.5915300546448088,3.255639097744361
